Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P06046347,p06046348,P06046349,P06046350,pB0874,4,1,na,Helena and PS,damaged,,,,,,,,
P06046351,p06046352,P06046353,P06046354,pB0855,3.5,1,3.5,Helena and PS,,,,,,,,,
P06046355,p06046356,P06046357,P06046358,pB0813,3.5,0.5,3,Helena and PS,,,,,,,,,
P06046359,p06046360,P06046361,P06046362,pB0870,4,1,3,Helena and PS,,,,,,,,,
P06046363,p06046364,P06046365,P06046366,pB0809,4,1,3.5,Helena and PS,,,,,,,,,
P06046367,p06046368,P06046369,P06046370,pB0840,1.5,2,2,Helena and PS,damaged,,,,,,,,
P06046371,p06046372,P06046373,P06046374,pB0871,3.5,0.5,3,Helena and PS,,,,,,,,,
P06046375,p06046376,P06046377,P06046378,pB0823,3.5,1,3,Helena and PS,damaged,,,,,,,,
P06046379,p06046380,P06046381,P06046382,pB0887,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06046383,p06046384,P06046385,P06046386,pB0841,3.5,1,4,Helena and PS,,,,,,,,,
P06066387,P06066388,P06066389,P06066390,pB0842,3.5,1,3.5,Helena and PS,,,,,,,,,
P06066391,P06066392,P06066393,P06066394,pB0835,4,0.5,4,Helena and PS,,,,,,,,,
P06066395,P06066396,P06066397,P06066398,pB0839,4,1,3,Helena and PS,,,,,,,,,
P06066399,P06066400,P06066401,P06066402,pB0873,4,1,3,Helena and PS,,,,,,,,,
P06066403,P06066404,P06066405,P06066406,pB0827,4,1,3,Helena and PS,,,,,,,,,
P06066407,P06066408,P06066409,P06066410,pB0811,3.5,1,3,Helena and PS,,,,,,,,,
P06066411,P06066412,P06066413,P06066414,pB0826,4,1,3.5,Helena and PS,,,,,,,,,
P06066415,P06066416,P06066417,P06066418,pB0848,3,1,3.5,Helena and PS,deformed,,,,,,,,
P06066419,P06066420,P06066421,P06066422,pB0831,4,1,3.5,Helena and PS,,,,,,,,,
P06066423,P06066424,P06066425,P06066426,pB0854,3.5,1,3,Helena and PS,damaged,,,,,,,,
P06066427,P06066428,P06066429,P06066430,pB0879,4,1,3.5,Helena and PS,,,,,,,,,
P06066431,P06066432,P06066433,P06066434,pB0828,3.5,0.5,3.5,Helena and PS,old and damaged,,,,,,,,
P06066435,P06066436,P06066437,P06066438,pB0816,1.5,1.5,NA,Helena and PS,deformed,,,,,,,,
P06066439,P06066440,P06066441,P06066442,pB0843,4,1,3.5,Helena and PS,,,,,,,,,
P06066443,P06066444,P06066445,P06066446,pB0801,4,1,3.5,Helena and PS,,,,,,,,,
P06066447,P06066448,P06066449,P06066450,pB0858,4,1,4,Helena and PS,,,,,,,,,
P06066451,P06066452,P06066453,P06066454,pB0851,4,1,3,Helena and PS,,,,,,,,,
P06066455,P06066456,P06066457,P06066458,pB0850,4,1,3,Helena and PS,,,,,,,,,
P06066459,P06066460,P06066461,P06066462,pB0856,4,1,3,Helena and PS,damaged,,,,,,,,
P06066463,P06066464,P06066465,P06066466,pB0952,1.5,2.5,3.5,Helena and PS,,,,,,,,,
P06066467,P06066468,P06066469,P06066470,pB0960,0.5,2.5,NA,Helena and PS,deformed,,,,,,,,
P06066471,P06066472,P06066473,P06066474,pB0910,0.5,2.5,1,Helena and PS,damaged/old,,,,,,,,
P06066475,P06066476,P06066477,P06066478,pB0877,0.5,2.5,2.5,Helena and PS,,,,,,,,,
P06066479,P06066480,P06066481,P06066482,pB0946,1.5,2,1,Helena and PS,damaged,,,,,,,,
P06066483,P06066484,P06066485,P06066486,pB0958,0.5,2.5,1,Helena and PS,,,,,,,,,
P06066487,P06066488,P06066489,P06066490,pB0878,1,2.5,1.5,Helena and PS,,,,,,,,,
