Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P06265417,P06265418,P06265419,P06265420,pB2631,3.5,1,3,Helena,,,,,,,,,
P06265421,P06265422,P06265423,P06265424,pB2640,3.5,0.5,3,Helena,,,,,,,,,
P06265425,P06265426,P06265427,P06265428,pB2632,4,0.5,3,Helena,,,,,,,,,
P06265429,P06265430,P06265431,P06265432,pB2635,2,1,1.5,Helena,damaged,,,,,,,,
P06265433,P06265434,P06265435,P06265436,pB2621,4,1,3,Helena,,,,,,,,,
P06265437,P06265438,P06265439,P06265440,pB2636,3.5,1,3,Helena,,,,,,,,,
P06265441,P06265442,P06265443,P06265444,pB2638,4,0.5,3,Helena,,,,,,,,,
P06265445,P06265446,P06265447,P06265448,pB2637,4,1.5,3,Helena,,,,,,,,,
P06265449,P06265450,P06265451,P06265452,pB2624,3,1.5,3.5,Helena,damaged,,,,,,,,
P06265453,P06265454,P06265455,P06265456,pB2623,3.5,1,3,Helena,,,,,,,,,
P06265457,P06265458,P06265459,P06265460,pB2630,4,2,3,Helena,,,,,,,,,
P06265461,P06265462,P06265463,P06265464,pB2625,4,1.5,3,Helena,,,,,,,,,
P06265465,P06265466,P06265467,P06265468,pB2580,3,0.5,1.5,Helena,,,,,,,,,
P06265469,P06265470,P06265471,P06265472,pB2628,4,na,3.5,Helena,damaged,,,,,,,,
P06265473,P06265474,P06265475,P06265476,pB2534,4,0.5,3.5,Helena,old,,,,,,,,
P06265477,P06265478,P06265479,P06265480,pB0757,0.5,1,1.5,Helena,,,,,,,,,
P06265481,P06265482,P06265483,P06265484,pB0784,0.5,2.5,2.5,Helena,,,,,,,,,
P06265485,P06265486,P06265487,P06265488,pB2524,2,2.5,1,Helena,,,,,,,,,
P06275490,P06275491,P06275492,P06275493,pB0620,0.5,2.5,2.5,Helena,,,,,,,,,
P06275494,P06275495,P06275496,P06275497,pB2533,0.5,3,2.5,Helena,,,,,,,,,
P06275498,P06275499,P06275500,P06275501,pB2529,1.5,2.5,2,Helena,,,,,,,,,
P06275502,P06275503,P06275504,P06275505,pB0753,0.5,3,1.5,Helena,,,,,,,,,
P06275506,P06275507,P06275508,P06275509,pB0631,0.5,2.5,1.5,Helena,damaged,,,,,,,,
P06275510,P06275511,P06275512,P06275513,pB0715,0.5,2.5,1.5,Helena,,,,,,,,,
P06275514,P06275515,P06275516,P06275517,pB0713,0.5,2.5,1.5,Helena,,,,,,,,,
P06275518,P06275519,P06275520,P06275521,pB0708,0.5,3,1,Helena,,,,,,,,,
P06275522,P06275523,P06275524,P06275525,pB0751,0.5,3,1,Helena,,,,,,,,,
P06275526,P06275527,P06275528,P06275529,pB0528,2,1,3.5,Helena,,,,,,,,,
P06275530,P06275531,P06275532,P06275533,pB0711,0.5,2.5,1.5,Helena,,,,,,,,,
P06275534,P06275535,P06275536,P06275537,pB0748,1.5,2.5,3,Helena,,,,,,,,,
P06275538,P06275539,P06275540,P06275541,pB0601,0.5,2.5,1,Helena,,,,,,,,,
P06275542,P06275543,P06275544,P06275545,pB0728,0.5,3,1.5,Helena,,,,,,,,,
P06275546,P06275547,P06275548,P06275549,pB0704,0.5,2.5,1.5,Helena,,,,,,,,,
P06275550,P06275551,P06275552,P06275553,pB0732,1.5,2.5,1.5,Helena,,,,,,,,,
P06275554,P06275555,P06275556,P06275557,pB0710,1.5,1,3.5,Helena,,,,,,,,,
P06275558,P06275559,P06275560,P06275561,pB0614,0.5,2.5,1,Helena,,,,,,,,,
P06275562,P06275563,P06275564,P06275565,pB0624,0.5,2.5,1.5,Helena,,,,,,,,,
P06275566,P06275567,P06275568,P06275569,pB0615,0.5,2.5,1.5,Helena,,,,,,,,,
P06275570,P06275571,P06275572,P06275573,pB0703,0.5,2.5,1.5,Helena,,,,,,,,,
P06275574,P06275575,P06275576,P06275577,pB0606,0.5,2.5,1.5,Helena,,,,,,,,,
P06275578,P06275579,P06275580,P06275581,pB0727,1,2.5,3,Helena,,,,,,,,,
P06275582,P06275583,P06275584,P06275585,pB0723,0.5,2.5,1.5,Helena,,,,,,,,,
P06275586,P06275587,P06275588,P06275589,pB0610,1,2.5,2,Helena,,,,,,,,,
P06275590,P06275591,P06275592,P06275593,pB0729,0.5,2.5,2.5,Helena,,,,,,,,,
P06275594,P06275595,P06275596,P06275597,pB0613,2,2.5,3.5,Helena,,,,,,,,,
P06275598,P06275599,P06275600,P06275601,pB0608,0.5,2.5,2.5,Helena,,,,,,,,,
P06275602,P06275603,P06275604,P06275605,pB0629,0.5,2.5,1.5,Helena,,,,,,,,,
P06275606,P06275607,P06275608,P06275609,pB0609,0.5,2.5,1.5,Helena,,,,,,,,,
P06275610,P06275611,P06275612,P06275613,pB1825,1,2.5,2.5,Helena,,,,,,,,,
P06275614,P06275615,P06275616,P06275617,pB0718,0.5,2.5,1,Helena,,,,,,,,,
P06275618,P06275619,P06275620,P06275621,pB0724,0.5,2.5,1.5,Helena,Damaged,,,,,,,,
P06275622,P06275623,P06275624,P06275625,pB0722,1,2.5,2.5,Helena,,,,,,,,,
P06275626,P06275627,P06275628,P06275629,pB1964,0.5,2.5,1,Helena,,,,,,,,,
P06275630,P06275631,P06275632,P06275633,pB2522,0.5,2.5,3,Helena,,,,,,,,,
P06275634,P06275635,P06275636,P06275637,pB0707,0.5,2.5,1.5,Helena,,,,,,,,,
P06275638,P06275639,P06275640,P06275641,pB1953,0.5,2.5,1.5,Helena,,,,,,,,,
P06275642,P06275643,P06275644,P06275645,pB0720,1.5,1,1.5,Helena,,,,,,,,,
P06275646,P06275647,P06275648,P06275649,pB0607,0.5,2.5,1,Helena,,,,,,,,,
P06275650,P06275651,P06275652,P06275653,pB0719,1,2.5,2,Helena,,,,,,,,,
P06275654,P06275655,P06275656,P06275657,pB1830,0.5,3,1,Helena,,,,,,,,,
P06275658,P06275659,P06275660,P06275661,pB0705,1.5,2.5,3.5,Helena,,,,,,,,,
P06275662,P06275663,P06275664,P06275665,pB0630,0.5,2.5,2.5,Helena,,,,,,,,,
P06275666,P06275667,P06275668,P06275669,pB0726,0.5,2.5,2,Helena,,,,,,,,,
P06275670,P06275671,P06275672,P06275673,pB0702,0.5,2.5,2.5,Helena,,,,,,,,,
P06275674,P06275675,P06275676,P06275677,pB0626,3.5,2.5,1.5,Helena,,,,,,,,,
P06275678,P06275679,P06275680,P06275681,pB0734,0.5,2.5,2.5,Helena,,,,,,,,,
P06275682,P06275683,P06275684,P06275685,pB0637,0.5,2.5,2.5,Helena,,,,,,,,,
P06275686,P06275687,P06275688,P06275689,pB0717,0.5,3,1,Helena,,,,,,,,,
P06275690,P06275691,P06275692,P06275693,pB2541,0.5,2.5,1.5,Helena,,,,,,,,,
P06275694,P06275695,P06275696,P06275697,pB0725,0.5,2.5,2,Helena,,,,,,,,,
P06275698,P06275699,P06275700,P06275701,pB2550,0.5,3,1.5,Helena,,,,,,,,,
P06275702,P06275703,P06275704,P06275705,pB2538,0.5,1,1.5,Helena,,,,,,,,,
P06275707,P06275708,P06275709,P06275710,pB2528,0.5,2.5,1.5,Helena,,,,,,,,,
P06275711,P06275712,P06275713,P06275714,pB0713,0.5,2.5,1.5,Helena,,,,,,,,,
P06275715,P06275716,P06275717,P06275718,pB0528,2.5,1,3.5,Helena,,,,,,,,,
P06275719,P06275720,P06275721,P06275722,pB0620,0.5,2.5,1.5,Helena,,,,,,,,,
P06275723,P06275724,P06275725,P06275726,pB0631,0.5,2.5,1.5,Helena,,,,,,,,,
P06275727,P06275728,P06275729,P06275730,pB0748,2,2.5,3,Helena,,,,,,,,,
P06275731,P06275732,P06275733,P06275734,pB2533,0.5,2.5,2.5,Helena,,,,,,,,,
P06275735,P06275736,P06275737,P06275738,pB2536,2,1,3.5,Helena,,,,,,,,,
P06275739,P06275740,P06275741,P06275742,pB0741,0.5,3,1,Helena,old,,,,,,,,
P06275743,P06275744,P06275745,P06275746,pB0615,0.5,2.5,1.5,Helena,,,,,,,,,
P06275747,P06275748,P06275749,P06275750,pB0704,0.5,3,1.5,Helena,,,,,,,,,
P06275751,P06275752,P06275753,P06275754,pB0753,0.5,3,1.5,Helena,,,,,,,,,
P06275755,P06275756,P06275757,P06275758,pB0614,0.5,2.5,1,Helena,,,,,,,,,
P06275759,P06275760,P06275761,P06275762,pB0710,1.5,1,2,Helena,,,,,,,,,
P06275763,P06275764,P06275765,P06275766,pB0624,0.5,2.5,1.5,Helena,,,,,,,,,
P06275767,P06275768,P06275769,P06275770,pB0601,0.5,2.5,1,Helena,damaged,,,,,,,,
P06275771,P06275772,P06275773,P06275774,pB0728,0.5,3,1.5,Helena,,,,,,,,,
P06275775,P06275776,P06275777,P06275778,pB0732,1.5,2.5,1.5,Helena,,,,,,,,,
P06275779,P06275780,P06275781,P06275782,pB0708,0.5,3,1,Helena,,,,,,,,,
P06275783,P06275784,P06275785,P06275786,pB0711,0.5,2.5,1.5,Helena,,,,,,,,,
P06275787,P06275788,P06275789,P06275790,pB2529,1.5,2.5,2,Helena,,,,,,,,,
P06275791,P06275792,P06275793,P06275795,pB0715,0.5,2.5,1.5,Helena,,,,,,,,,
P06275796,P06275797,P06275798,P06275799,pB2548,1,2.5,1.5,Helena,,,,,,,,,
P06295800,P06295801,P06295802,P06295803,pB2565,0.5,2.5,1.5,Helena,,,,,,,,,
P06295804,P06295805,P06295806,P06295807,pB2566,1.5,1,2.5,Helena,,,,,,,,,
P06295808,P06295809,P06295810,P06295811,pB2579,2,2.5,3,Helena,,,,,,,,,
P06295812,P06295813,P06295814,P06295815,pB2827,0.5,2.5,1.5,Helena,,,,,,,,,
P06295816,P06295817,P06295818,P06295819,pB2571,1,2.5,1.5,Helena,,,,,,,,,
P06295820,P06295821,P06295822,P06295823,pB2573,3,2,3.5,Helena,,,,,,,,,
P06295824,P06295825,P06295826,P06295827,pB2567,1,2.5,1.5,Helena,,,,,,,,,
P06295828,P06295829,P06295830,P06295831,pB2563,1.5,2.5,3,Helena,,,,,,,,,
P06295832,P06295833,P06295834,P06295835,pB2833,0.5,2.5,2.5,Helena,,,,,,,,,
P06295836,P06295837,P06295838,P06295839,pB2568,0.5,2.5,1.5,Helena,,,,,,,,,
P06295840,P06295841,P06295842,P06295843,pB2823,2.5,1,3,Helena,,,,,,,,,
P06295844,P06295845,P06295846,P06295847,pB2754,0.5,2.5,1.5,Helena,,,,,,,,,
P06295848,P06295849,P06295850,P06295851,pB2639,3.5,2,1,Helena,,,,,,,,,
P06295852,P06295853,P06295854,P06295855,pB2748,0.5,2.5,1.5,Helena,,,,,,,,,
P06295856,P06295857,P06295858,P06295859,pB2577,1.5,2.5,2.5,Helena,,,,,,,,,
P06295860,P06295861,P06295862,P06295863,pB2561,1.5,2.5,3,Helena,,,,,,,,,
P06295864,P06295865,P06295866,P06295867,pB2564,0.5,2.5,1,Helena,,,,,,,,,
P06295868,P06295869,P06295870,P06295871,pB2578,0.5,2.5,2.5,Helena,,,,,,,,,
P06295872,P06295873,P06295874,P06295875,pB2622,0.5,2.5,1.5,Helena,,,,,,,,,
P06295876,P06295877,P06295878,P06295879,pB2752,2,2.5,3,Helena,,,,,,,,,
P06295880,P06295881,P06295882,P06295883,pB2791,3.5,0.5,3,Helena,,,,,,,,,
P06295884,P06295885,P06295886,P06295887,pB2793,3,0.5,1,Helena,,,,,,,,,
P06295888,P06295889,P06295890,P06295891,pB2830,3,0.5,3,Helena,damaged,,,,,,,,
P06295892,P06295893,P06295894,P06295895,pB2786,3,1,3,Helena,damaged,,,,,,,,
P06295896,P06295897,P06295898,P06295899,pB2785,3.5,1.5,3,Helena,,,,,,,,,
P06295900,P06295901,P06295902,P06295903,pB2789,4,1.5,3,Helena,,,,,,,,,
P06295904,P06295905,P06295906,P06295907,pB2782,3.5,1,3,Helena,old,,,,,,,,
P06295908,P06295909,P06295910,P06295911,pB2794,1,0.5,4,Helena,,,,,,,,,
P06295912,P06295913,P06295914,P06295915,pB2800,0.5,1,1,Helena,,,,,,,,,
P06295916,P06295917,P06295918,P06295919,pB2787,3,1,3,Helena,,,,,,,,,
P06295920,P06295921,P06295922,P06295923,pB2052,0.5,2.5,1,Helena,,,,,,,,,
P06295924,P06295925,P06295926,P06295927,pB1965,1.5,0.5,3.5,Helena,,,,,,,,,
P06295928,P06295929,P06295930,P06295931,pB0384,3.5,1,3.5,Helena,,,,,,,,,
P06295932,P06295933,P06295934,P06295935,pB0260,3,1.5,3.5,Helena,,,,,,,,,
P06295936,P06295937,P06295938,P06295939,pB0763,3.5,0.5,3,Helena,,,,,,,,,
P06295940,P06295941,P06295942,P06295943,pA0986,3.5,1,3.5,Helena,,,,,,,,,
P06295944,P06295945,P06295946,P06295947,pB2539,2.5,2,3,Helena,damaged,,,,,,,,
P06295948,P06295949,P06295950,P06295951,pB2531,3.5,0.5,3,Helena,,,,,,,,,
P06295952,P06295953,P06295954,P06295955,pB1955,4,1,3,Helena,,,,,,,,,
P06295956,P06295957,P06295958,P06295959,pB2542,3.5,0.5,3,Helena,,,,,,,,,
P06295960,P06295961,P06295962,P06295963,pB2532,3,3.5,1,Helena,damaged,,,,,,,,
P06295964,P06295965,P06295966,P06295967,pB2527,3,1,3,Helena,,,,,,,,,
P06295968,P06295969,P06295970,P06295971,pB2540,3.5,1,3.5,Helena,,,,,,,,,
P06295972,P06295973,P06295974,P06295975,pB2535,3,1,3,Helena,,,,,,,,,
P06295976,P06295977,P06295978,P06295979,pB2054,3,0.5,1,Helena,damaged,,,,,,,,
P06295980,P06295981,P06295982,P06295983,pB2530,2.5,0.5,2,Helena,,,,,,,,,
P06295984,P06295985,P06295986,P06295987,pB0779,1.5,2.5,1,Helena,,,,,,,,,
P06295988,P06295989,P06295990,P06295991,pB2525,3.5,0.5,3.5,Helena,,,,,,,,,
P06295992,P06295993,P06295994,P06295995,pA0350,0.5,1,3,Helena,damaged,,,,,,,,
P06295996,P06295997,P06295998,P06295999,pB2523,4.5,0.5,3.5,Helena,damaged,,,,,,,,
P06296000,P06296001,P06296002,P06296003,pB2700,0.5,2.5,1,Helena,,,,,,,,,
P06296004,P06296005,P06296006,P06296007,pB2702,0.5,2.5,2.5,Helena,,,,,,,,,
P06296008,P06296009,P06296010,P06296011,pB2710,0.5,2.5,3,Helena,,,,,,,,,
P06296012,P06296013,P06296014,P06296015,pB2706,1,2.5,1.5,Helena,,,,,,,,,
P06296016,P06296017,P06296018,P06296019,pB2709,0.5,2.5,3.5,Helena,,,,,,,,,
P06296020,P06296021,P06296022,P06296023,pB2713,0.5,2.5,1,Helena,,,,,,,,,
P06296024,P06296025,P06296026,P06296027,pB2707,0.5,2.5,2.5,Helena,,,,,,,,,
P06296028,P06296029,P06296030,P06296031,pB2712,0.5,2.5,2.5,Helena,,,,,,,,,
P06296032,P06296033,P06296034,P06296035,pB2719,1.5,2.5,2.5,Helena,,,,,,,,,
P06296036,P06296037,P06296038,P06296039,pB2703,0.5,2.5,1,Helena,,,,,,,,,
P06296040,P06296041,P06296042,P06296043,pB2701,0.5,2.5,1,Helena,,,,,,,,,
P06296044,P06296045,P06296046,P06296047,pB2881,0.5,3,1,Helena,,,,,,,,,
P06296048,P06296049,P06296050,P06296051,pB2708,0.5,2.5,1,Helena,,,,,,,,,
P06296052,P06296053,P06296054,P06296055,pB2897,1,2.5,1.5,Helena,,,,,,,,,
P06296056,P06296057,P06296058,P06296059,pB2716,0.5,2.5,1,Helena,,,,,,,,,
P06296060,P06296061,P06296062,P06296063,pB2884,0.5,3,1,Helena,,,,,,,,,
P06296064,P06296065,P06296066,P06296067,pB2795,0.5,2.5,1.5,Helena,,,,,,,,,
P06296068,P06296069,P06296070,P06296071,pB2720,0.5,2.5,1.5,Helena,,,,,,,,,
P06296072,P06296073,P06296074,P06296075,pB2797,0.5,2.5,1,Helena,,,,,,,,,
P06296076,P06296077,P06296078,P06296079,pB2718,1,2.5,1,Helena,,,,,,,,,
P06296080,P06296081,P06296082,P06296083,pB2899,1,3,2,Helena,,,,,,,,,
P06296084,P06296085,P06296086,P06296087,pB2704,0.5,2.5,1.5,Helena,,,,,,,,,
P06296088,P06296089,P06296090,P06296091,pB2714,0.5,2.5,1,Helena,,,,,,,,,
P06296092,P06296093,P06296094,P06296095,pB2705,1,3,1,Helena,,,,,,,,,
P06296096,P06296097,P06296098,P06296099,pB2650,0.5,2.5,0.5,Helena,damaged,,,,,,,,
P06296100,P06296101,P06296102,P06296103,pB2651,1,2.5,3,Helena,,,,,,,,,
P06296104,P06296105,P06296106,P06296107,pB2652,2,2.5,1,Helena,,,,,,,,,
P06296108,P06296109,P06296110,P06296111,pB2694,0.5,2.5,1,Helena,,,,,,,,,
P06296112,P06296113,P06296114,P06296115,pB2649,0.5,2.5,1,Helena,,,,,,,,,
P06296116,P06296117,P06296118,P06296119,pB2692,0.5,2.5,3,Helena,,,,,,,,,
P06296120,P06296121,P06296122,P06296123,pB2653,1,2,1,Helena,,,,,,,,,
P06296124,P06296125,P06296126,P06296127,pB2645,0.5,2.5,1,Helena,,,,,,,,,
P06296128,P06296129,P06296130,P06296131,pB2658,0.5,2.5,1,Helena,,,,,,,,,
P06296132,P06296133,P06296134,P06296135,pB2689,0.5,2.5,1,Helena,,,,,,,,,
P06296136,P06296137,P06296138,P06296139,pB2698,1,2.5,2,Helena,,,,,,,,,
P06296140,P06296141,P06296142,P06296143,pB2654,1.5,2.5,4,Helena,,,,,,,,,
P06296144,P06296145,P06296146,P06296147,pB2647,0.5,2.5,1,Helena,,,,,,,,,
P06296148,P06296149,P06296150,P06296151,pB2688,0.5,1,1,Helena,,,,,,,,,
P06296152,P06296153,P06296154,P06296155,pB2659,1,2.5,1.5,Helena,,,,,,,,,
P06296156,P06296157,P06296158,P06296159,pB2657,0.5,2.5,1.5,Helena,,,,,,,,,
P06296160,P06296161,P06296162,P06296163,pB2699,0.5,2.5,1,Helena,,,,,,,,,
P06296164,P06296165,P06296166,P06296167,pB2690,1,2.5,3.5,Helena,,,,,,,,,
P06296168,P06296169,P06296170,P06296187,pB2687,0.5,3,1.5,Helena,,,,,,,,,
P06296171,P06296172,P06296173,P06296174,pB2693,0.5,2.5,1,Helena,,,,,,,,,
P06296175,P06296176,P06296177,P06296178,pB2696,0.5,2.5,2.5,Helena,,,,,,,,,
P06296179,P06296180,P06296181,P06296182,pB2641,0.5,2.5,2.5,Helena,,,,,,,,,
P06296183,P06296184,P06296185,P06296186,pB2646,0.5,2.5,3.5,Helena,,,,,,,,,
P06296188,P06296189,P06296190,P06296191,pB2695,0.5,2.5,1.5,Helena,,,,,,,,,
P06296192,P06296193,P06296194,P06296195,pB2643,0.5,2.5,2.5,Helena,,,,,,,,,
P06296196,P06296197,P06296198,P06296199,pB2681,0.5,2.5,1,Helena,,,,,,,,,
P06296200,P06296201,P06296202,P06296203,pB2697,0.5,2.5,1,Helena,,,,,,,,,
P06296204,P06296205,P06296206,P06296207,pB2683,1,2.5,1,Helena,,,,,,,,,
P06296208,P06296209,P06296210,P06296211,pB2717,2,2.5,1,Helena,,,,,,,,,
P06296212,P06296213,P06296214,P06296215,pB2644,2,2.5,2.5,Helena,,,,,,,,,
P06296216,P06296217,P06296218,P06296219,pB2656,1,2.5,1,Helena,,,,,,,,,
P06296220,P06296221,P06296222,P06296223,pB2648,0.5,2.5,1,Helena,,,,,,,,,
P06296224,P06296225,P06296226,P06296227,pB2655,2,2.5,2.5,Helena,damaged,,,,,,,,
P06296228,P06296229,P06296230,P06296231,pB2715,2,2.5,1.5,Helena,,,,,,,,,
P06296232,P06296233,P06296234,P06296235,pB2691,1,2.5,3,Helena,,,,,,,,,
P06296236,P06296237,P06296238,P06296239,pB2682,0.5,1,1,Helena,damaged,,,,,,,,
P06296240,P06296241,P06296242,P06296243,pB2684,0.5,3,2,Helena,,,,,,,,,
P06296244,P06296245,P06296246,P06296247,pB2711,0.5,2.5,0.5,Helena,,,,,,,,,
P06296248,P06296249,P06296250,P06296251,pB2783,0.5,3,1,Helena,,,,,,,,,
P06296252,P06296253,P06296254,P06296255,pB2685,0.5,2.5,2.5,Helena,,,,,,,,,
P06296256,P06296257,P06296258,P06296259,pB2642,0.5,2.5,2.5,Helena,,,,,,,,,
P06306260,P06306261,P06306262,P06306263,pB0560,0.5,2.5,2,Helena,,,,,,,,,
P06306264,P06306265,P06306266,P06306267,pB2873,0.5,2.5,1.5,Helena,,,,,,,,,
P06306268,P06306269,P06306270,P06306271,pB2867,3.5,0.5,3,Helena,,,,,,,,,
P06306272,P06306273,P06306274,P06306275,pB2528,0.5,2.5,1.5,Helena,,,,,,,,,
P06306276,P06306277,P06306278,P06306279,pB2861,1.5,2.5,1,Helena,damaged,,,,,,,,
P06306280,P06306281,P06306282,P06306283,pB2863,2,2,3.5,Helena,,,,,,,,,
P06306284,P06306285,P06306286,P06306287,pB2866,3.5,0.5,3,Helena,,,,,,,,,
P06306288,P06306289,P06306290,P06306291,pB2868,2.5,2.5,3,Helena,damaged,,,,,,,,
P06306292,P06306293,P06306294,P06306295,pB2879,3.5,2,3.5,Helena,,,,,,,,,
P06306296,P06306297,P06306298,P06306299,pB2877,1,1,2,Helena,damaged,,,,,,,,
P06306300,P06306301,P06306302,P06306303,pB2875,2,1,3,Helena,damaged,,,,,,,,
P06306304,P06306305,P06306306,P06306307,pB0575,0.5,2.5,1.5,Helena,,,,,,,,,
P06306308,P06306309,P06306310,P06306311,pB2878,1.5,2.5,1.5,Helena,,,,,,,,,
P06306312,P06306313,P06306314,P06306315,pB0373,0.5,2.5,1,Helena,,,,,,,,,
P06306316,P06306317,P06306318,P06306319,pB2876,0.5,3,2.5,Helena,,,,,,,,,
P06306320,P06306321,P06306322,P06306323,pB2862,2.5,2.5,1.5,Helena,,,,,,,,,
P06306324,P06306325,P06306326,P06306327,pB2865,0.5,2.5,2.5,Helena,,,,,,,,,
P06306328,P06306329,P06306330,P06306331,pB0709,0.5,2.5,2.5,Helena,,,,,,,,,
P06306332,P06306333,P06306334,P06306335,pB0379,0.5,2.5,1.5,Helena,,,,,,,,,
P06306336,P06306337,P06306338,P06306339,pB0487,2,1,1,Helena,,,,,,,,,
P06306340,P06306341,P06306342,P06306343,pB2864,3,0.5,2,Helena,,,,,,,,,
P06306344,P06306345,P06306346,P06306347,pB2870,2,1,1.5,Helena,,,,,,,,,
P06306348,P06306349,P06306350,P06306351,pB2869,3,1.5,1.5,Helena,,,,,,,,,
P06306352,P06306353,P06306354,P06306355,pB2760,0.5,2.5,1.5,Helena,,,,,,,,,
P06306356,P06306357,P06306358,P06306359,pB2924,0.5,2.5,1,Helena,,,,,,,,,
P06306360,P06306361,P06306362,P06306363,pB2933,0.5,2.5,1.5,Helena,,,,,,,,,
P06306364,P06306365,P06306366,P06306367,pB2927,0.5,2.5,1,Helena,,,,,,,,,
P06306368,P06306369,P06306370,P06306371,pB2929,0.5,2.5,2.5,Helena,,,,,,,,,
P06306372,P06306373,P06306374,P06306375,pB2932,0.5,2.5,1.5,Helena,,,,,,,,,
P06306376,P06306377,P06306378,P06306379,pB2922,0.5,2.5,2.5,Helena,,,,,,,,,
P06306380,P06306381,P06306382,P06306383,pB2925,1,2.5,1,Helena,,,,,,,,,
P06306384,P06306385,P06306386,P06306387,pB2921,0.5,2.5,1.5,Helena,,,,,,,,,
P06306388,P06306389,P06306390,P06306391,pB2803,0.5,2.5,2.5,Helena,,,,,,,,,
P06306392,P06306393,P06306394,P06306395,pB2936,0.5,2.5,1.5,Helena,,,,,,,,,
P06306396,P06306397,P06306398,P06306399,pB2940,0.5,2.5,1.5,Helena,,,,,,,,,
P06306400,P06306401,P06306402,P06306403,pB2939,1,2.5,1.5,Helena,,,,,,,,,
P06306404,P06306405,P06306406,P06306407,pB2937,0.5,2.5,1.5,Helena,,,,,,,,,
P06306408,P06306409,P06306410,P06306411,pB2934,2,1,3,Helena,,,,,,,,,
P06306412,P06306413,P06306414,P06306415,pB2923,0.5,2.5,1.5,Helena,,,,,,,,,
P06306416,P06306417,P06306418,P06306419,pB2938,0.5,2.5,2,Helena,,,,,,,,,
P06306420,P06306421,P06306422,P06306423,pB2931,0.5,2.5,1,Helena,,,,,,,,,
P06306424,P06306425,P06306426,P06306427,pB2926,0.5,2.5,1,Helena,,,,,,,,,
P06306428,P06306429,P06306430,P06306431,pB2930,0.5,2.5,1.5,Helena,,,,,,,,,
P06306432,P06306433,P06306434,P06306435,pB2809,0.5,2.5,1.5,Helena,,,,,,,,,
P06306436,P06306437,P06306438,P06306439,pB2812,1,2.5,3,Helena,,,,,,,,,
P06306440,P06306441,P06306442,P06306443,pB2814,0.5,2.5,1,Helena,,,,,,,,,
P06306444,P06306445,P06306446,P06306447,pB2815,0.5,2.5,1.5,Helena,,,,,,,,,
P06306448,P06306449,P06306450,P06306451,pB2569,0.5,2.5,2.5,Helena,,,,,,,,,
P06306452,P06306453,P06306454,P06306455,pB2928,0.5,3,1,Helena,,,,,,,,,
P06306456,P06306457,P06306458,P06306459,pB2819,3.5,2.5,3.5,Helena,,,,,,,,,
P06306460,P06306461,P06306462,P06306463,pB2749,0.5,2.5,1.5,Helena,,,,,,,,,
P06306464,P06306465,P06306466,P06306467,pB2811,0.5,2,3,Helena,,,,,,,,,
P06306468,P06306469,P06306470,P06306471,pB2753,0.5,2.5,1.5,Helena,,,,,,,,,
P06306472,P06306473,P06306474,P06306475,pB2562,0.5,2.5,2.5,Helena,,,,,,,,,
P06306476,P06306477,P06306478,P06306479,pB2742,0.5,2.5,1.5,Helena,,,,,,,,,
P06306480,P06306481,P06306482,P06306483,pB2816,2,2.5,2.5,Helena,,,,,,,,,
P06306484,P06306485,P06306486,P06306487,pB2572,0.5,2.5,1,Helena,,,,,,,,,
P06306488,P06306489,P06306490,P06306491,pB2805,2,2.5,1,Helena,,,,,,,,,
P06306492,P06306493,P06306494,P06306495,pB2813,0.5,2.5,1.5,Helena,,,,,,,,,
P06306496,P06306497,P06306498,P06306499,pB2575,0.5,2.5,2.5,Helena,,,,,,,,,
P06306500,P06306501,P06306502,P06306503,pB2751,0.5,2.5,1,Helena,,,,,,,,,
P06306504,P06306505,P06306506,P06306507,pB2745,0.5,2.5,1.5,Helena,,,,,,,,,
P06306508,P06306509,P06306510,P06306511,pB2747,0.5,2.5,3,Helena,,,,,,,,,
P06306512,P06306513,P06306514,P06306515,pB2818,2,2.5,3,Helena,,,,,,,,,
P06306516,P06306517,P06306518,P06306519,pB2806,0.5,2.5,1.5,Helena,,,,,,,,,
P06306520,P06306521,P06306522,P06306523,pB2570,0.5,2.5,1,Helena,,,,,,,,,
P06306524,P06306525,P06306526,P06306527,pB2574,0.5,2.5,2.5,Helena,,,,,,,,,
P06306528,P06306529,P06306530,P06306531,pB2759,0.5,2.5,1,Helena,,,,,,,,,
P06306532,P06306533,P06306534,P06306535,pB2977,0.5,2.5,2.5,Helena,,,,,,,,,
P06306536,P06306537,P06306538,P06306539,pB2982,3.5,0.5,3,Helena,,,,,,,,,
P06306540,P06306541,P06306542,P06306543,pB2854,0.5,2.5,1.5,Helena,,,,,,,,,
P06306544,P06306545,P06306546,P06306547,pB2848,2,1,1.5,Helena,,,,,,,,,
P06306548,P06306549,P06306550,P06306551,pB2855,0.5,1,1,Helena,,,,,,,,,
P06306552,P06306553,P06306554,P06306555,pB2986,4,0.5,3,Helena,,,,,,,,,
P06306556,P06306557,P06306558,P06306559,pB2980,1,2.5,3,Helena,,,,,,,,,
P06306560,P06306561,P06306562,P06306563,pB2841,4,0.5,3,Helena,,,,,,,,,
P06306564,P06306565,P06306566,P06306567,pB2962,2,1,3.5,Helena,,,,,,,,,
P06306568,P06306569,P06306570,P06306571,pB2975,3,2.5,3,Helena,,,,,,,,,
P06306572,P06306573,P06306574,P06306575,pB2976,3.5,2.5,3.5,Helena,,,,,,,,,
